company_id,country
10057,US
10058,US
100580416,US
100580709,US
100580822,CN
100580824,US
100580868,CN
100581165,CN
100581455,US
100581832,US
100581836,US
100581942,US
100581964,US
100582073,US
100582142,US
10060,US
10061,US
10063,US
100638305,US
100639034,US
100639260,US
10064,US
100640357,CN
100640731,US
100640763,US
100640948,US
100641370,US
100641487,US
100641531,US
10066,US
100668712,US
100668819,US
10067,US
100671291,US
100688057,US
100688069,CN
100688441,US
100688483,US
100688599,CN
100688609,CN
100688675,US
100689007,US
100689083,CN
100689353,CN
100689357,CN
100689505,CN
100689652,US
100689668,US
100689699,US
100689726,CN
100689866,US
10069,US
100699108,CN
100699280,US
1007,US
10070,US
10071,US
10072,US
100730648,US
10074,US
10075,US
100763224,CN
100763667,CN
100763709,CN
100763831,CN
100763975,CN
100763979,CN
100764039,CN
100764280,US
100764336,US
100764374,US
100764513,US
100764520,US
100764564,US
100764570,US
100765124,CN
10077,US
10078,US
100791019,US
100796733,US
100802740,US
100805825,CN
100806326,CN
10081,US
10082,US
100826021,CN
100826057,US
100826223,US
100826339,US
100826631,US
100826696,US
100826698,US
100826726,CN
100826892,CN
100826976,US
100827138,US
100827437,CN
100827874,CN
100828196,CN
100828289,US
100828550,US
100828696,US
100828708,US
100828744,US
100828772,US
100828808,US
100829352,CN
100829759,US
10083,US
10084,US
10085,US
100878002,US
100878553,US
100878977,US
100879066,CN
100879121,US
100879352,CN
100879540,CN
100879629,CN
100879753,CN
100880344,CN
100880578,CN
100880580,US
100880742,CN
100880855,US
100880863,US
100881107,US
100881116,US
100881119,US
100881228,US
100881252,US
100881360,US
100881366,US
100881407,US
100881447,US
10089,US
1009,US
10090,US
100908836,CN
100909027,US
100909057,US
100909765,CN
100909961,US
100909967,US
10091,US
100910123,US
100910360,CN
100925342,US
100926676,US
100926721,US
100927109,CN
100929883,US
10093,US
100930008,US
100930396,US
100930550,US
100930622,US
100930874,CN
100931004,CN
100931046,CN
100931160,CN
100931394,US
100931418,US
100931636,US
100931708,US
100931736,CN
100931764,US
100931927,US
100931958,US
100939483,CN
100939565,CN
100939843,US
10094,US
10095,US
10099,US
1010,US
10100,US
101002551,US
101002605,US
101003878,US
101003896,US
101004030,US
101004646,US
101004763,CN
101004970,CN
101005002,CN
101005050,CN
101005174,US
101005178,US
101005273,US
101005285,US
101005295,US
101005437,US
101005496,US
101005693,US
101005703,US
101005704,US
101005727,US
101005736,US
101005757,CN
10101,US
10102,US
101023434,US
10104,US
101056259,US
10106,US
101062155,US
101062625,CN
101062885,CN
101062979,US
101063003,US
101063309,CN
101063399,CN
101063543,CN
101063641,CN
101063959,US
101063995,US
101064097,US
101064207,CN
101064275,US
101064287,US
101064338,US
101064562,US
101064738,US
10110,US
101104648,CN
101105470,US
101106139,US
101106317,US
101106388,CN
101106666,US
101106701,CN
101106763,CN
101106860,US
101106996,US
101107358,US
101107472,US
10111,US
101133440,CN
101159479,US
101159529,US
101159541,US
101159575,US
101159707,US
101159757,CN
101161320,US
101161386,CN
101161404,CN
101161424,CN
101161536,US
101161552,US
101161725,US
101161843,US
101161844,US
101161900,US
101162105,US
101170751,US
10120,US
101204003,US
101204129,US
101204311,US
101204645,CN
101205021,US
101205689,US
101205959,US
101206115,US
101206117,US
101206287,US
101206401,US
101206744,US
101214635,CN
101214812,US
101214867,US
101214947,CN
10122,US
101278437,US
101278868,US
101279621,US
101279633,CN
101279675,CN
101280071,CN
101280082,US
101280199,US
101280263,CN
101280289,US
101280338,CN
101280511,US
101280586,US
101280914,US
101280965,CN
101280995,US
101281054,US
101281066,US
101281106,US
101281109,US
101281110,US
101281156,US
101281158,US
101281343,US
101281446,US
101281534,US
101281702,US
101294724,US
1013,US
101316605,US
10132,US
10133,US
101340094,CN
101340372,CN
101340486,CN
101340796,CN
101341303,CN
101341570,CN
101341683,CN
101341724,CN
101341728,US
101341759,CN
101341763,CN
101341796,CN
101341849,CN
101341941,CN
101342118,US
101342402,US
101342466,US
101342694,US
101342710,US
101342711,US
101343162,US
101343278,US
101343439,US
101378348,US
101396761,US
1014,US
10140,US
101402131,US
101402605,US
101403031,US
101403035,US
101403089,US
101403337,US
101403495,US
101403523,US
101403977,CN
101404443,US
101404453,US
101404681,US
101404752,US
101404797,US
101404918,CN
101405216,US
101405328,US
101412315,CN
10142,US
10143,US
10144,US
